Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

02:12:47        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:13:47        all      6.47      0.00      1.17      0.17      0.00     92.19
02:14:47        all      4.41      0.00      0.57      0.12      0.00     94.90
02:15:47        all      3.21      0.00      0.36      0.04      0.00     96.39
02:16:47        all      3.19      0.00      0.38      0.06      0.00     96.37
02:17:47        all      4.51      0.00      0.78      0.05      0.00     94.67
02:18:47        all      9.18      0.00      1.83      0.36      0.00     88.64
02:19:47        all      5.92      0.00      0.43      0.10      0.00     93.55
02:20:47        all      3.38      0.00      0.25      0.03      0.00     96.33
02:21:47        all      3.29      0.00      0.22      0.00      0.00     96.48
02:22:47        all      3.23      0.00      0.30      0.02      0.00     96.45
02:23:47        all      3.00      0.00      0.51      0.03      0.00     96.46
