# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415154314;5324528;258795028;97.98;369504;220763120;134240388;49.05;158855972;90224872
axle;60;1415154374;5310820;258808736;97.99;369648;220895544;134159732;49.02;166709204;82388204
axle;60;1415154434;3606036;260513520;98.63;369828;221030484;135722048;49.59;169333452;81439432
axle;60;1415154494;5083480;259036076;98.08;369964;221164888;134114300;49.00;169943128;79363160
axle;60;1415154554;4683104;259436452;98.23;370256;221297780;134383800;49.10;170646888;79055012
axle;60;1415154614;4821996;259297560;98.17;370456;221429484;134143952;49.01;170574472;78994632
axle;60;1415154674;4676512;259443044;98.23;370600;221561272;134143952;49.01;170701156;79000524
axle;60;1415154734;4523984;259595572;98.29;370752;221693924;134128764;49.01;173042256;76805684
