# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415154314;sdb;1005.30;4834.13;51593.33;56.13;2.00;1.99;0.03;2.89
axle;60;1415154314;sda;4.87;0.27;372.93;76.68;0.00;0.19;0.07;0.03
axle;60;1415154374;sdb;501.43;4420.27;16191.47;41.11;0.96;1.92;0.03;1.47
axle;60;1415154374;sda;3.20;0.00;48.40;15.12;0.00;0.02;0.02;0.01
axle;60;1415154434;sdb;39.15;4492.80;4507.87;229.90;0.01;0.32;0.09;0.34
axle;60;1415154434;sda;3.30;0.00;49.87;15.11;0.00;0.00;0.00;0.00
axle;60;1415154494;sdb;37.78;4471.47;4435.07;235.73;0.01;0.28;0.13;0.50
axle;60;1415154494;sda;3.00;0.00;46.27;15.42;0.00;0.00;0.00;0.00
axle;60;1415154554;sdb;39.38;4428.93;4421.47;224.72;0.01;0.28;0.13;0.51
axle;60;1415154554;sda;3.20;0.00;47.73;14.92;0.00;0.02;0.02;0.01
axle;60;1415154614;sdb;36.85;4381.87;4397.20;238.24;0.01;0.34;0.12;0.46
axle;60;1415154614;sda;3.37;0.00;57.20;16.99;0.00;0.00;0.00;0.00
axle;60;1415154674;sdb;31.88;4390.40;4271.33;271.67;0.01;0.25;0.13;0.41
axle;60;1415154674;sda;3.10;0.00;46.27;14.92;0.00;0.00;0.00;0.00
axle;60;1415154734;sdb;33.12;4411.73;4276.00;262.34;0.01;0.33;0.12;0.41
axle;60;1415154734;sda;3.08;0.00;47.87;15.52;0.00;0.00;0.00;0.00
