Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

02:24:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:25:14        all      2.83      0.00      0.71      0.01      0.00     96.45
02:26:14        all      3.03      0.00      0.52      0.00      0.00     96.44
02:27:14        all      3.09      0.00      0.48      0.00      0.00     96.43
02:28:14        all      3.01      0.00      0.53      0.00      0.00     96.46
02:29:14        all      3.15      0.00      0.39      0.00      0.00     96.46
02:30:14        all      2.93      0.00      0.61      0.00      0.00     96.46
02:31:14        all      3.27      0.00      0.22      0.00      0.00     96.51
02:32:14        all      2.84      0.00      0.70      0.00      0.00     96.46
