# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415154849;-49589.67;-1.58;27189.43
axle;60;1415154909;4561.70;-4.28;-8947.33
axle;60;1415154969;-118.03;0.87;-3956.37
axle;60;1415155029;3718.72;-0.25;-7807.97
axle;60;1415155089;17186.37;0.87;620.72
axle;60;1415155149;-21401.03;0.90;-165.67
axle;60;1415155209;25423.93;-0.28;-1698.80
axle;60;1415155269;-6071.63;0.85;622.52
axle;60;1415155329;-5520.02;0.87;631.35
axle;60;1415155389;6448.52;0.93;363.18
axle;60;1415155449;17823.32;0.85;857.22
axle;60;1415155509;-741.07;0.62;744.05
axle;60;1415155569;-991.73;0.72;892.43
axle;60;1415155629;-799.57;0.65;754.63
