# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415154849;907088;263212468;99.66;370700;219952092;139354116;50.92;177804848;75344264
axle;60;1415154909;2001896;262117660;99.24;369672;217804732;140298400;51.26;178122192;73974064
axle;60;1415154969;1973568;262145988;99.25;369880;216855204;141365936;51.65;178315544;73825700
axle;60;1415155029;2866060;261253496;98.91;369820;214981292;142824956;52.19;177456072;73806884
axle;60;1415155089;6990788;257128768;97.35;370028;215130264;138075756;50.45;173345080;73778204
axle;60;1415155149;1854540;262265016;99.30;370244;215090504;143338900;52.37;178517864;73764484
axle;60;1415155209;7956284;256163272;96.99;370176;214682792;137523272;50.25;172344840;73796332
axle;60;1415155269;6499092;257620464;97.54;370380;214832196;138842432;50.73;173875000;73781140
axle;60;1415155329;5174288;258945268;98.04;370588;214983720;140036520;51.17;175206324;73776684
axle;60;1415155389;6721932;257397624;97.45;370812;215070884;138557180;50.63;173723760;73775232
axle;60;1415155449;10999528;253120028;95.84;371016;215276616;134204852;49.04;169640660;73806908
axle;60;1415155509;10821672;253297884;95.90;371164;215455188;134212072;49.04;169796704;73827340
axle;60;1415155569;10583656;253535900;95.99;371336;215669372;134192936;49.03;169971464;73881556
axle;60;1415155629;10391760;253727796;96.07;371492;215850484;134180008;49.03;170149116;73905180
