Linux 3.11.0-17-generic (axle) 	05/11/14 	_x86_64_	(64 CPU)

02:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:34:09        all     26.10      0.00      5.76      0.04      0.00     68.10
02:35:09        all     26.23      0.00      5.95      0.04      0.00     67.79
02:36:09        all     25.27      0.00      6.83      0.03      0.00     67.87
02:37:09        all     26.49      0.00      5.47      0.07      0.00     67.97
02:38:09        all     25.48      0.00      6.58      0.03      0.00     67.91
02:39:09        all     25.63      0.00      6.19      0.04      0.00     68.14
02:40:09        all     25.56      0.00      6.67      0.04      0.00     67.73
02:41:09        all     26.22      0.00      5.77      0.06      0.00     67.94
02:42:09        all     27.03      0.00      5.08      0.02      0.00     67.87
02:43:09        all     25.33      0.00      6.32      0.04      0.00     68.31
02:44:09        all      6.75      0.00      1.66      0.04      0.00     91.55
02:45:09        all      3.18      0.00      0.39      0.00      0.00     96.44
02:46:09        all      3.16      0.00      0.45      0.01      0.00     96.38
02:47:09        all      3.13      0.00      0.44      0.02      0.00     96.41
