# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1415154849;-1;26.10;0.00;5.76;0.04;0.00;68.10
axle;60;1415154849;0;8.52;0.00;3.35;1.02;0.00;87.12
axle;60;1415154849;1;7.80;0.00;2.80;0.32;0.00;89.09
axle;60;1415154849;2;5.67;0.00;2.91;0.07;0.00;91.35
axle;60;1415154849;3;68.65;0.00;4.44;0.02;0.00;26.89
axle;60;1415154849;4;60.14;0.00;11.53;0.02;0.00;28.31
axle;60;1415154849;5;31.35;0.00;13.30;0.10;0.00;55.24
axle;60;1415154849;6;32.11;0.00;7.12;0.03;0.00;60.73
axle;60;1415154849;7;33.28;0.00;8.11;0.02;0.00;58.60
axle;60;1415154849;8;72.62;0.00;4.57;0.02;0.00;22.79
axle;60;1415154849;9;62.95;0.00;9.40;0.02;0.00;27.63
axle;60;1415154849;10;28.33;0.00;6.70;0.02;0.00;64.95
axle;60;1415154849;11;26.17;0.00;7.88;0.02;0.00;65.93
axle;60;1415154849;12;23.89;0.00;7.45;0.02;0.00;68.64
axle;60;1415154849;13;19.71;0.00;5.28;0.00;0.00;75.01
axle;60;1415154849;14;10.23;0.00;2.79;0.02;0.00;86.97
axle;60;1415154849;15;11.03;0.00;2.45;0.00;0.00;86.52
axle;60;1415154849;16;41.49;0.00;13.25;0.03;0.00;45.22
axle;60;1415154849;17;39.43;0.00;6.47;0.03;0.00;54.06
axle;60;1415154849;18;52.41;0.00;8.03;0.02;0.00;39.55
axle;60;1415154849;19;19.71;0.00;2.57;0.00;0.00;77.72
axle;60;1415154849;20;42.52;0.00;9.62;0.03;0.00;47.83
axle;60;1415154849;21;20.78;0.00;6.67;0.03;0.00;72.52
axle;60;1415154849;22;33.72;0.00;5.46;0.02;0.00;60.80
axle;60;1415154849;23;32.35;0.00;4.92;0.07;0.00;62.67
axle;60;1415154849;24;30.06;0.00;8.18;0.00;0.00;61.77
axle;60;1415154849;25;29.02;0.00;10.99;0.03;0.00;59.96
axle;60;1415154849;26;53.72;0.00;12.30;0.02;0.00;33.96
axle;60;1415154849;27;73.16;0.00;8.81;0.02;0.00;18.01
axle;60;1415154849;28;49.93;0.00;9.19;0.00;0.00;40.88
axle;60;1415154849;29;22.47;0.00;11.03;0.02;0.00;66.49
axle;60;1415154849;30;22.25;0.00;10.96;0.02;0.00;66.78
axle;60;1415154849;31;13.27;0.00;8.05;0.02;0.00;78.67
axle;60;1415154849;32;19.16;0.00;4.95;0.17;0.00;75.72
axle;60;1415154849;33;31.38;0.00;14.19;0.00;0.00;54.43
axle;60;1415154849;34;70.29;0.00;1.65;0.02;0.00;28.04
axle;60;1415154849;35;17.20;0.00;6.98;0.02;0.00;75.80
axle;60;1415154849;36;3.33;0.00;0.94;0.02;0.00;95.72
axle;60;1415154849;37;4.85;0.00;1.02;0.07;0.00;94.06
axle;60;1415154849;38;35.63;0.00;7.98;0.02;0.00;56.38
axle;60;1415154849;39;4.43;0.00;1.94;0.03;0.00;93.60
axle;60;1415154849;40;7.49;0.00;4.54;0.02;0.00;87.96
axle;60;1415154849;41;0.82;0.00;0.47;0.00;0.00;98.72
axle;60;1415154849;42;22.55;0.00;4.70;0.00;0.00;72.75
axle;60;1415154849;43;5.49;0.00;2.52;0.00;0.00;92.00
axle;60;1415154849;44;28.38;0.00;11.74;0.00;0.00;59.89
axle;60;1415154849;45;0.68;0.00;0.58;0.02;0.00;98.72
axle;60;1415154849;46;8.46;0.00;2.07;0.00;0.00;89.47
axle;60;1415154849;47;54.36;0.00;4.57;0.02;0.00;41.06
axle;60;1415154849;48;3.82;0.00;1.77;0.03;0.00;94.37
axle;60;1415154849;49;7.42;0.00;3.51;0.03;0.00;89.04
axle;60;1415154849;50;13.13;0.00;2.82;0.03;0.00;84.01
axle;60;1415154849;51;61.22;0.00;2.87;0.00;0.00;35.91
axle;60;1415154849;52;30.98;0.00;5.95;0.05;0.00;63.01
axle;60;1415154849;53;14.97;0.00;3.37;0.00;0.00;81.65
axle;60;1415154849;54;18.34;0.00;3.37;0.02;0.00;78.28
axle;60;1415154849;55;8.46;0.00;3.09;0.00;0.00;88.46
axle;60;1415154849;56;29.00;0.00;11.15;0.00;0.00;59.85
axle;60;1415154849;57;3.51;0.00;1.74;0.00;0.00;94.75
axle;60;1415154849;58;17.55;0.00;2.09;0.00;0.00;80.36
axle;60;1415154849;59;8.23;0.00;1.20;0.00;0.00;90.56
axle;60;1415154849;60;14.68;0.00;1.99;0.00;0.00;83.33
axle;60;1415154849;61;10.95;0.00;2.70;0.02;0.00;86.33
