ctime,relname,pid,mode,granted
1415153576.98996,customer,10955,RowExclusiveLock,t
1415153576.98996,lineitem,10956,RowExclusiveLock,t
1415153576.98996,orders,10958,RowExclusiveLock,t
1415153576.98996,part,10953,RowExclusiveLock,t
1415153576.98996,partsupp,10961,RowExclusiveLock,t
1415153576.98996,pg_locks,10985,AccessShareLock,t
1415153576.98996,pg_stat_activity,10987,AccessShareLock,t
1415153576.98996,pg_stat_all_indexes,10986,AccessShareLock,t
1415153576.98996,pg_stat_database,10989,AccessShareLock,t
1415153576.98996,pg_statio_all_indexes,10986,AccessShareLock,t
1415153576.98996,pg_statio_all_tables,10988,AccessShareLock,t
1415153576.98996,supplier,10954,RowExclusiveLock,t
1415153636.99136,lineitem,10956,RowExclusiveLock,t
1415153636.99136,orders,11045,ShareLock,f
1415153636.99136,orders,11046,ShareLock,t
1415153636.99136,orders,11047,AccessExclusiveLock,f
1415153636.99136,pg_locks,11056,AccessShareLock,t
1415153636.99136,pg_stat_activity,11057,AccessShareLock,t
1415153696.99657,lineitem,10956,ExclusiveLock,t
1415153696.99657,lineitem,10956,RowExclusiveLock,t
1415153696.99657,pg_locks,11085,AccessShareLock,t
1415153696.99657,pg_stat_activity,11088,AccessShareLock,t
1415153696.99657,pg_stat_all_indexes,11087,AccessShareLock,t
1415153696.99657,pg_stat_all_tables,11086,AccessShareLock,t
1415153696.99657,pg_stat_database,11089,AccessShareLock,t
1415153696.99657,pg_statio_all_indexes,11087,AccessShareLock,t
1415153696.99657,pg_statio_all_tables,11086,AccessShareLock,t
1415153757.00399,lineitem,10956,RowExclusiveLock,t
1415153757.00399,pg_locks,11120,AccessShareLock,t
1415153757.00399,pg_stat_activity,11123,AccessShareLock,t
1415153757.00399,pg_stat_all_indexes,11122,AccessShareLock,t
1415153757.00399,pg_stat_all_tables,11121,AccessShareLock,t
1415153757.00399,pg_stat_database,11124,AccessShareLock,t
1415153757.00399,pg_statio_all_indexes,11122,AccessShareLock,t
1415153757.00399,pg_statio_all_tables,11121,AccessShareLock,t
1415153817.01036,lineitem,10956,RowExclusiveLock,t
1415153817.01036,pg_locks,11150,AccessShareLock,t
1415153817.01036,pg_stat_activity,11151,AccessShareLock,t
1415153817.01036,pg_stat_all_indexes,11148,AccessShareLock,t
1415153817.01036,pg_stat_all_tables,11149,AccessShareLock,t
1415153817.01036,pg_stat_database,11152,AccessShareLock,t
1415153817.01036,pg_statio_all_indexes,11148,AccessShareLock,t
1415153817.01036,pg_statio_all_tables,11149,AccessShareLock,t
1415153877.01035,lineitem,11179,ShareLock,t
1415153877.01035,lineitem,11181,ShareLock,t
1415153877.01035,lineitem,11176,ShareLock,t
1415153877.01035,lineitem,11177,ShareLock,t
1415153877.01035,lineitem,11178,ShareLock,t
1415153877.01035,lineitem,11180,ShareLock,t
1415153877.01035,lineitem,11175,ShareLock,t
1415153877.01035,lineitem,11182,AccessExclusiveLock,f
1415153877.01035,pg_locks,11195,AccessShareLock,t
1415153877.01035,pg_stat_activity,11196,AccessShareLock,t
1415153877.01035,pg_stat_all_indexes,11198,AccessShareLock,t
1415153877.01035,pg_stat_all_tables,11197,AccessShareLock,t
1415153877.01035,pg_stat_database,11194,AccessShareLock,t
1415153877.01035,pg_statio_all_indexes,11198,AccessShareLock,t
1415153877.01035,pg_statio_all_tables,11197,AccessShareLock,t
1415153937.01529,lineitem,11177,ShareLock,t
1415153937.01529,lineitem,11182,AccessExclusiveLock,f
1415153937.01529,lineitem,11175,ShareLock,t
1415153937.01529,lineitem,11178,ShareLock,t
1415153937.01529,pg_locks,11222,AccessShareLock,t
1415153937.01529,pg_stat_activity,11223,AccessShareLock,t
